LANE,From Lat,From Lng,To Lat,To Lng,Colr,Total_trl,O_BUS,D_BUS
GA02-FL14,33.615196,-84.367485,28.087665,-81.978485,blue,223,HDS,HDS
GA02-GA041,33.615196,-84.367485,32.173389,-81.205841,red,216,HDS,HDS
IL30-OH36,41.924175,-87.889274,39.845401,-82.880302,blue,227,HDS,HDS
CA05-CA342,38.564315,-121.540916,37.739547,-121.237567,red,113,HDS,HDS
225-256,36.011329,-86.565902,39.247558,-84.350936,blue,123,HDP,HDP
WA09-165,47.390701,-122.262603,45.541599,-122.497917,blue,115,HDS,HDP
225-TN50,36.011329,-86.565902,35.037967,-90.007102,red,109,HDP,HDS
FL14-208,28.087665,-81.978485,30.346641,-81.896815,blue,78,HDS,HDP
TX18-46,29.917263,-95.440719,29.982299,-90.315101,blue,4,HDS,HDP
CA20--,34.015399,-117.858222,,,blue,2,HDS,-
198-NV39,34.078558,-117.270205,,,blue,2,HDP,HDS
41,37.385639,-121.885276,38.484096,-121.398887,blue,3,-,HDP
198--,34.078558,-117.270205,,,blue,2,HDP,-
TX03-301,32.685398,-96.936599,32.825599,-97.052871,blue,231,HDS,HDP
208-154,26.278227,-80.116367,26.2779,-80.147819,blue,5,HDP,HDP
301-TX03,33.033405,-97.067657,35.580776,-97.468864,blue,6,HDP,HDS
301-OK28,32.825599,-97.052871,33.033405,-97.067657,blue,6,HDP,HDS
GA02-293,33.610186,-84.381903,34.722553,-82.421455,blue,1,HDS,HDP
IL30-233,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
301-TX03,32.81628,-97.04741,33.028385,-97.08672,blue,2,HDP,HDS
206-MD23,40.142814,-74.859222,39.164939,-76.715637,blue,6,HDP,HDS
GA07-GA02,34.000743,-84.466529,33.615196,-84.367485,blue,339,HDS,HDS
FL14-FL19,28.087665,-81.978485,25.988372,-80.212219,blue,272,HDS,HDS
CA05-CA248,38.564315,-121.540916,36.665836,-119.738594,red,5,HDS,HDS
WA09--,47.390701,-122.262603,46.601557,-120.510842,blue,53,HDS,-
AZ17-NM020,33.43975,-112.191062,35.154018,-106.562873,red,299,HDS,HDS
NJ22--,40.069759,-74.841842,38.887054,-76.881107,blue,67,HDS,-
225-4,36.011329,-86.565902,39.959999,-85.983657,blue,113,HDP,HDP
198-238,34.078558,-117.270205,34.02778,-118.15841,blue,1,HDP,HDP
TX03-LA46,33.033405,-97.067657,29.982299,-90.315101,blue,9,HDS,HDS
236-41,37.587258,-122.021574,38.48895,-121.398843,blue,3,HDP,HDP
198-NV39,34.015399,-117.858222,,,blue,2,HDP,HDS
CA20--,34.015399,-117.858222,36.230201,-115.075798,blue,2,HDS,-
OH36-NY018,39.845401,-82.880302,42.925936,-78.757125,red,1,HDS,HDS
206-MA021A,40.14563,-74.861728,42.194538,-71.835627,blue,1,HDP,HDP
TX03-OK28,32.825599,-97.052871,35.580776,-97.468864,blue,6,HDS,HDS
225-4,36.02115,-86.571307,39.96402,-86.02698,blue,1,HDP,HDP
299-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
NJ22-NJ056,40.0699,-74.842002,40.668714,-74.114309,blue,1,HDS,HDS
FL14-FL29,28.039465,-81.949804,30.332184,-81.655651,blue,1,HDS,HDS
WA09-OR47,47.390701,-122.262603,45.370826,-122.769706,blue,338,HDS,HDS
GA02-TN44,33.615196,-84.367485,36.02115,-86.571307,blue,41,HDS,HDS
OH36-KY022,39.845401,-82.880302,38.194999,-85.651947,red,238,HDS,HDP
240-CA248,35.253738,-119.061767,36.701335,-119.840972,red,113,HDP,HDS
CA20-AZ17,34.015399,-117.858222,33.43975,-112.191062,blue,231,HDS,HDS
MA21-NY99,42.2523,-71.128677,42.713287,-73.820693,red,113,HDS,HDS
180-NC38,37.459438,-77.314437,35.8269,-78.833534,blue,112,HDP,HDS
FL14-FL262,28.087665,-81.978485,26.631629,-81.836189,red,208,HDS,HDP
CO11-UT48,39.739236,-104.984862,40.741157,-111.811004,blue,242,HDS,HDS
TX18-TX189,29.917263,-95.440719,27.776792,-97.429054,red,67,HDS,HDS
180-296,37.459438,-77.314437,36.236648,-80.298767,blue,111,HDP,HDP
208-282,30.346641,-81.896815,26.57877,-81.839002,blue,5,HDP,HDP
198-NV39,34.078558,-117.270205,36.246985,-115.063193,blue,5,HDP,HDS
TX03-TX188,33.033405,-97.067657,32.297279,-95.202903,red,26,HDS,HDS
IL30-246,41.924175,-87.889274,38.991481,-94.710418,blue,124,HDS,HDP
208-FL45,30.346641,-81.896815,28.527432,-81.405396,blue,2,HDP,HDS
NJ22-206,40.069759,-74.841842,38.887054,-76.881107,red,16,HDS,HDP
154--,26.278227,-80.116367,26.278227,-80.116367,blue,1,HDP,-
TX03-TX03,33.033405,-97.067657,33.033405,-97.067657,blue,6,HDS,HDS
TX03-OK28,33.033405,-97.067657,32.825599,-97.052871,blue,60,HDS,HDS
GA02-TN44,33.610186,-84.381903,36.02115,-86.571307,blue,3,HDS,HDS
IL30-MA021A,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
246-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
FL14-FL45,28.039465,-81.949804,28.527432,-81.405396,blue,1,HDS,HDS
FL14-FL45,28.087665,-81.978485,28.5296,-81.407234,blue,464,HDS,HDS
GA02-NC34,33.615196,-84.367485,35.13726,-80.936119,blue,231,HDS,HDS
GA02-291,33.615196,-84.367485,33.016208,-80.21141,blue,260,HDS,HDP
GA02-FL45,33.615196,-84.367485,28.5296,-81.407234,blue,117,HDS,HDS
IL30-WI008,41.924175,-87.889274,42.981956,-87.892761,red,116,HDS,HDS
208-FL45,30.410509,-81.809082,28.5296,-81.407234,blue,23,HDP,HDS
NJ22-NJ99,40.069759,-74.841842,40.546255,-74.466041,red,222,HDS,HDS
NC34-296,35.13726,-80.936119,36.232139,-80.2938,blue,115,HDS,HDP
IL30-IN41,41.924175,-87.889274,39.741462,-86.105804,blue,121,HDS,HDS
IL30-IA011,41.924175,-87.889274,41.605239,-93.749549,red,120,HDS,HDS
GA02-TN44,33.615196,-84.367485,36.077423,-86.720649,blue,205,HDS,HDS
NJ22-NJ056,40.069759,-74.841842,40.665714,-74.119331,blue,322,HDS,HDS
154-282,26.2779,-80.147819,26.6371,-81.871597,blue,90,HDP,HDP
NJ22--,40.07105,-74.861307,38.887054,-76.881107,blue,11,HDS,-
CA20--,34.078558,-117.270205,,,blue,2,HDS,-
198-NV39,34.078558,-117.270205,36.230201,-115.075798,blue,7,HDP,HDS
IL30-299,41.924175,-87.889274,38.991481,-94.710418,blue,124,HDS,HDP
CA20-NV39,34.014076,-117.842865,36.246985,-115.063193,blue,1,HDS,HDS
299-TX35,29.85724,-95.574241,30.145679,-97.700218,blue,5,HDP,HDS
299-TX27,29.85724,-95.574241,29.85724,-95.574241,blue,6,HDP,HDS
154-154,30.330867,-81.813865,26.278227,-80.116367,blue,5,HDP,HDP
208--,26.278227,-80.116367,26.278227,-80.116367,blue,1,HDP,-
IL30--,41.917253,-87.895619,43.12833,-89.363029,blue,1,HDS,-
---,37.629502,-77.546848,35.301327,-80.893114,blue,2,-,-
208-FL16,30.330867,-81.813865,27.9316,-82.375396,blue,228,HDP,HDS
AL04-AL028,33.154975,-86.717475,30.59502,-88.18444,red,114,HDS,HDS
IL032-MO15,41.959896,-87.978233,38.768566,-90.465774,blue,116,HDS,HDS
273-CO080,39.770919,-104.679458,38.927642,-104.847702,red,114,HDP,HDP
OH36-NY018,39.845401,-82.880302,42.927299,-78.747482,red,155,HDS,HDS
TX03-CO11,33.033405,-97.067657,39.788288,-104.826499,blue,242,HDS,HDS
TX03-OK28,32.685398,-96.936599,35.580776,-97.468864,blue,96,HDS,HDS
TX03-138,33.033405,-97.067657,36.174365,-95.844253,blue,79,HDS,HDP
NJ22-NY019,40.069759,-74.841842,43.069957,-76.109069,red,114,HDS,HDS
TX03-802,33.033405,-97.067657,31.854991,-102.354194,blue,33,HDS,HDP
198-238,34.080886,-117.273246,34.021808,-118.151527,blue,367,HDP,HDP
CA20-CA49,34.015399,-117.858222,37.635456,-122.102081,blue,123,HDS,HDS
198--,34.015399,-117.858222,,,blue,2,HDP,-
NJ22-MD23,40.07105,-74.861307,39.195201,-76.723747,blue,5,HDS,HDS
FL14-FL248,28.094544,-81.915505,30.456287,-84.349189,red,2,HDS,HDS
IL30-206,41.924175,-87.889274,38.991481,-94.710418,blue,124,HDS,HDP
TX03-AR012,32.685398,-96.936599,34.780918,-92.152076,red,4,HDS,HDS
FL14-FL16,28.039465,-81.949804,27.94752,-82.45843,blue,1,HDS,HDS
FL14-FL45,28.094544,-81.915505,28.527432,-81.405396,blue,4,HDS,HDS
GA02-FL19,33.610186,-84.381903,25.987869,-80.174769,blue,1,HDS,HDS
208--,30.330867,-81.813865,26.2779,-80.147819,blue,1,HDP,-
225-297,36.02115,-86.571307,34.813644,-86.511417,blue,1,HDP,HDP
IL30-MN55,41.924175,-87.889274,44.804641,-93.196739,blue,229,HDS,HDS
CA05-CA248,38.564315,-121.540916,36.701335,-119.840972,red,117,HDS,HDS
238-CA20,34.021808,-118.151527,34.015399,-117.858222,blue,5,HDP,HDS
GA02-292,33.615196,-84.367485,33.900646,-81.092086,blue,253,HDS,HDP
19-OH13,42.461933,-83.403701,41.389776,-81.441226,blue,113,HDP,HDS
WA09-WA039,47.390701,-122.262603,47.693748,-117.386688,blue,115,HDS,HDP
CA05-CA242,38.564315,-121.540916,38.406021,-122.735412,red,114,HDS,HDS
IL30-IL30,41.924175,-87.889274,41.924175,-87.889274,blue,1,HDS,HDS
CA20-CA263,34.015399,-117.858222,34.40607,-118.535301,red,245,HDS,HDS
225-297,36.011329,-86.565902,34.782276,-86.524406,blue,113,HDP,HDP
180-NC34,37.459438,-77.314437,35.123394,-80.930247,blue,42,HDP,HDS
FL14-208,28.094544,-81.915505,30.346641,-81.896815,blue,14,HDS,HDP
198-NV39,34.015399,-117.858222,36.246985,-115.063193,blue,5,HDP,HDS
IL032-299,41.959896,-87.978233,38.991481,-94.710418,blue,66,HDS,HDP
TX03-301,33.033405,-97.067657,32.825599,-97.052871,blue,64,HDS,HDP
FL14-290,28.094544,-81.915505,28.398862,-81.360347,blue,1,HDS,HDP
TX03-AR012,32.685398,-96.936599,32.825599,-97.052871,red,4,HDS,HDS
TX03-301,32.685398,-96.936599,34.780918,-92.152076,blue,4,HDS,HDP
TX03-301,33.033405,-97.067657,35.580776,-97.468864,blue,60,HDS,HDP
299-299,29.85724,-95.574241,29.85724,-95.574241,blue,6,HDP,HDP
FL14-FL248,28.094544,-81.915505,30.523352,-84.353648,red,1,HDS,HDS
154-154,30.330867,-81.813865,26.2779,-80.147819,blue,5,HDP,HDP
IL30-233,41.924175,-87.889274,38.972975,-94.712233,blue,10,HDS,HDP
CA20-240,34.015399,-117.858222,35.253738,-119.061767,blue,71,HDS,HDP
TX18-LA46,29.917263,-95.440719,29.982299,-90.315101,blue,296,HDS,HDS
IL30-IN034,41.924175,-87.889274,41.160026,-85.118766,red,118,HDS,HDS
TX03-OK28,33.033405,-97.067657,35.580776,-97.468864,blue,228,HDS,HDS
TX03-TX03,32.685398,-96.936599,33.033405,-97.067657,blue,180,HDS,HDS
TX18-TX27,29.917263,-95.440719,29.582399,-98.291816,blue,258,HDS,HDS
NJ056-NJ99,40.665714,-74.119331,40.546255,-74.466041,red,131,HDS,HDS
NJ22-VA37,40.069759,-74.841842,37.007434,-76.383216,blue,216,HDS,HDS
NJ22-MD23,40.069759,-74.841842,39.164939,-76.715637,blue,341,HDS,HDS
TX03-TX27,33.033405,-97.067657,29.582399,-98.291816,blue,118,HDS,HDS
IL30-IA011,41.926624,-87.919115,41.621248,-93.844972,red,1,HDS,HDS
206-206,38.885302,-76.915898,40.14563,-74.861728,blue,4,HDP,HDP
180-NC34,37.459438,-77.314437,35.13726,-80.936119,blue,50,HDP,HDS
208-154,30.410509,-81.809082,26.2779,-80.147819,blue,4,HDP,HDP
154-154,26.2779,-80.147819,26.2779,-80.147819,blue,42,HDP,HDP
CA20-CA05,34.014076,-117.842865,38.629584,-121.588592,blue,1,HDS,HDS
208-154,30.330867,-81.813865,26.278227,-80.116367,blue,5,HDP,HDP
208--,30.330867,-81.813865,26.278227,-80.116367,blue,1,HDP,-
154-154,26.278227,-80.116367,26.278227,-80.116367,blue,5,HDP,HDP
TX03-TX18,33.028385,-97.08672,29.920061,-95.441138,blue,2,HDS,HDS
