MASTER_BOL_ID,SHIPMENT_ID,BOL_NUMBER,PRO_NUMBER,PO_NUMBER,SAP_BOL_NUMBER,SHIPMENT_NUMBER,ORDER_NUMBER,LOAD_NUMBER,SPOT_USED,OVERFLOW,DIRECTION,SHIPMENT_CREATED_DATE,PICKUP_EARLIEST,PICKUP_LATEST,DROP_EARLIEST,DROP_LATEST,ORIGIN_LOCATION_CODE,O_PLANT_ID,O_XD_BLD,O_BUS_ORG,ORIGIN_NAME,ORIGIN_ADDRESS_1,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_ZIP,ORIGIN_COUNTRY,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,O_ADDR_TYPE,DEST_LOCATION_CODE,D_PLANT_ID,D_XD_BLD,D_BUS_ORG,DEST_NAME,DEST_ADDRESS_1,DEST_CITY,DEST_STATE,DEST_ZIP,DEST_COUNTRY,DEST_LATITUDE,DEST_LONGITUDE,D_ADDR_TYPE,LANE_STATE_TO_STATE,LANE_DESCRIPTION,RP_REGION,RP_DIV,CARRIER_NAME,SCAC,MODE,SERVICE,SERVICE_DAYS,DISTANCE_MILES,MC_NUMBER,US_DOT,MASTER_BOL_STATUS,SHIPMENT_TYPE,LATEST_ACTIVITY_TYPE,LATEST_ACTIVITY_STATUS,REPORT_DT,ACTUAL_WEIGHT,PLANNED_WEIGHT,ORDERED_WEIGHT,DELIVERED_WEIGHT,PACKAGE_COUNT,TOTAL_PACKAGE_WEIGHT,TOTAL_CUBIC_INCHES,HANDLING_UNITS,QUEUE,INVOICE_NUMBER,INVOICE_DATE,INVOICE_WEIGHT,TOTAL_INVOICE_AMOUNT,SETTLEMENT_AMOUNT,LINE_HAUL_CHARGES,FUEL_CHARGES,ACCESSORIAL_CHARGES,DISCOUNT,DEFICIT,YARDPULL_CHARGE,EXTRACT_DATE,GL_ACC,COST_PER_MILE,OWNER,CREATED_BY,COMMENTS,POD_RECEIVED,PROOF_OF_PICKUP,TRANSIT_HRS,PICKUP_APPT,ACTUAL_SHIPPED,DELIVERY_APPT,DROP_ARRIVED,DELIVERY_COMPLETE,ACTUAL_DELIVERY,P_LATE_REASON,D_LATE_REASON,FS_YR,FS_PR,FS_WK,SNOWFLAKE_LAST_UPDATED_TIMESTAMP
329987223123,329987223083,009L20080211,0228172279,4705175678,00125050014971207,009LSH14906630,,,,,,2025-06-30 12:01:32.000,2025-06-25 00:02:00.000,2025-06-25 23:58:00.000,2025-06-27 00:03:00.000,2025-06-27 23:59:00.000,0000044186,,,,"ELECTROLUX HOME PRODUCTS, INC, DBA ELECTROLUX MAJOR APPLIANCES",10200 David Taylor Dr,Charlotte,NC,28262-2373,USA,35.327745,80.729823,,TX03,,,,FM-HDS DC-DALLAS-TX03,550 Lakeside Parkway,Flower Mound,TX,75028-4033,USA,33.033405,97.067657,MRO,NC-TX,"Charlotte, NC to Flower Mound, TX",Central South,West,Estes Express Lines,EXLA,LTL,Standard,2,1053,97275,121018,Booked,Regular,Request Routing,Pending,2025-06-27,150.375,150.375,150.375,0,1,150.375,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,5,21,2025-06-30 12:05:32.954
329987223001,329987222966,009L20080210,0228172275,4705175669,00125050014971177,009LSH14906629,,,,,,2025-06-30 12:01:27.000,2025-06-25 00:02:00.000,2025-06-25 23:58:00.000,2025-06-27 00:03:00.000,2025-06-27 23:59:00.000,0000044186,,,,"ELECTROLUX HOME PRODUCTS, INC, DBA ELECTROLUX MAJOR APPLIANCES",10200 David Taylor Dr,Charlotte,NC,28262-2373,USA,35.327745,80.729823,,FL14,,,,FM-HDS DC-LAKELAND-FL14,6850 First Park Blvd,Lakeland,FL,33805-1415,USA,28.087665,81.978485,MRO,NC-FL,"Charlotte, NC to Lakeland, FL",Southeast West,East,Estes Express Lines,EXLA,LTL,Standard,2,581,97275,121018,Booked,Regular,Copy Delivery Number,Complete,2025-06-27,58.2,58.2,58.2,0,1,58.2,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,5,21,2025-06-30 12:05:03.051
329987213686,329987213656,009L20080203,120199788006,4704841885,206309380,009LSH14906622,,,,,,2025-06-30 12:00:39.000,2025-06-23 00:02:00.000,2025-06-23 23:58:00.000,2025-06-27 00:03:00.000,2025-06-27 23:59:00.000,0000021753,,,,"REGAL BELOIT AMERICA, INC. (FASCO), CONSUMER PRODUCTS DIVISION",1401 E North St,Eldon,MO,65026-2612,USA,38.349446,92.580524,,AZ17,,,,FM-HDS DC-PHOENIX-AZ17,"6825 W Buckeye Rd, # 1",Phoenix,AZ,85043-4428,USA,33.43975,112.191062,MRO,MO-AZ,"Eldon, MO to Phoenix, AZ",Pac Northwest,West,SAIA Motor Freight Lines,SAIA,LTL,Standard,4,1400,87511,29124,Booked,Regular,Request Routing,Pending,2025-06-27,117.6,117.6,117.6,0,1,117.6,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,5,21,2025-06-30 12:06:31.923
329987213574,329987213544,009L20080201,120199788006,4704841886,206309381,009LSH14906620,,,,,,2025-06-30 12:00:37.000,2025-06-23 00:02:00.000,2025-06-23 23:58:00.000,2025-06-27 00:03:00.000,2025-06-27 23:59:00.000,0000021753,,,,"REGAL BELOIT AMERICA, INC. (FASCO), CONSUMER PRODUCTS DIVISION",1401 E North St,Eldon,MO,65026-2612,USA,38.349446,92.580524,,AZ17,,,,FM-HDS DC-PHOENIX-AZ17,"6825 W Buckeye Rd, # 1",Phoenix,AZ,85043-4428,USA,33.43975,112.191062,MRO,MO-AZ,"Eldon, MO to Phoenix, AZ",Pac Northwest,West,SAIA Motor Freight Lines,SAIA,LTL,Standard,4,1400,87511,29124,Booked,Regular,Copy Delivery Number,Complete,2025-06-27,88.2,88.2,88.2,0,1,88.2,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,5,21,2025-06-30 12:06:31.923
329987212638,329987212605,009L20080200,1552626032,4705162132,267212089/19999329,009LSH14906619,,,,,,2025-06-30 12:00:04.000,2025-06-18 00:02:00.000,2025-06-18 23:58:00.000,2025-06-25 00:03:00.000,2025-06-25 23:59:00.000,0000022712,,,,"FOUNDATIONS WORLDWIDE, INC.",5216 Portside Dr,Medina,OH,44256-5966,USA,41.133878,81.889843,,CA20,,,,FM-HDS DC-LOS ANGELES-CA20,21651 Baker Parkway,CITY OF INDUSTRY,CA,91789,USA,34.015399,117.858222,MRO,OH-CA,"Medina, OH to CITY OF INDUSTRY, CA",West,West,Estes Express Lines,EXLA,LTL,Standard,5,2326,97275,121018,Booked,Regular,Copy Delivery Number,Complete,2025-06-25,800.94,800.94,800.94,0,1,800.94,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,5,21,2025-06-30 12:05:32.954
329987212485,329987212453,009L20080199,337649868,5116166346,0152209581,009LSH14906618,,,,,,2025-06-30 11:59:57.000,2025-06-30 00:02:00.000,2025-06-30 23:58:00.000,2025-07-02 00:03:00.000,2025-07-02 23:59:00.000,2300000020,,,,ACOUSTIC CEILING PRODUCT,555 W BELL ST,NEENAH,WI,54956,USA,44.181105,88.504654,,0005699636,,,,Atkins Nursing and Rehab Center,605 NW 7th St,Atkins,AR,72823-3437,USA,35.246472,92.936558,,WI-AR,"NEENAH, WI to Atkins, AR",Central South,West,R & L Carriers,RLCA,LTL,Standard,2,827,99074,63391,Booked,Regular,Copy Delivery Number,Complete,2025-07-02,18.37,18.37,18.37,0,1,18.37,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,6,22,2025-06-30 12:05:32.954
329987212288,329987212256,009L20080198,0978108299,5116169500,097-8108299,009LSH14906617,,,,,,2025-06-30 11:59:50.000,2025-06-30 00:02:00.000,2025-06-30 23:58:00.000,2025-07-03 00:03:00.000,2025-07-03 23:59:00.000,2300001127,,,,"AVANTI PRODUCTS, LLC., THE LEGACY COMPANIES","3265 Meridian Pkwy, SUITE 114",Weston,FL,33331-3523,USA,26.100339,80.399513,,0018283855,,,,JW Development,245 E 80th St,New York,NY,10075-0506,USA,40.772843,73.95582,,FL-NY,"Weston, FL to New York, NY",Northeast,East,Estes Express Lines,EXLA,LTL,Standard,3,1292,97275,121018,Booked,Regular,Copy Delivery Number,Complete,2025-07-03,117,117,117,0,1,117,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,6,22,2025-06-30 12:05:32.954
329987212174,329987212142,009L20080197,0978108298,5116169499,097-8108298,009LSH14906616,,,,,,2025-06-30 11:59:47.000,2025-06-30 00:02:00.000,2025-06-30 23:58:00.000,2025-07-03 00:03:00.000,2025-07-03 23:59:00.000,2300001127,,,,"AVANTI PRODUCTS, LLC., THE LEGACY COMPANIES","3265 Meridian Pkwy, SUITE 114",Weston,FL,33331-3523,USA,26.100339,80.399513,,0018283855,,,,JW Development,245 E 80th St,New York,NY,10075-0506,USA,40.772843,73.95582,,FL-NY,"Weston, FL to New York, NY",Northeast,East,Estes Express Lines,EXLA,LTL,Standard,3,1292,97275,121018,Booked,Regular,Request Routing,Pending,2025-07-03,110,110,110,0,1,110,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,6,22,2025-06-30 12:05:32.954
329987211964,329987211932,009L20080195,1310557106,5116168377,0152211481,009LSH14906614,,,,,,2025-06-30 11:59:43.000,2025-06-30 00:02:00.000,2025-06-30 23:58:00.000,2025-07-03 00:03:00.000,2025-07-03 23:59:00.000,2300000020,,,,ACOUSTIC CEILING PRODUCT,555 W BELL ST,NEENAH,WI,54956,USA,44.181105,88.504654,,0018150841,,,,"Tradewinds Resort/Island Grand, Gulf Hospitality Management LLC",5500 Gulf Blvd,St Pete Beach,FL,33706-2323,USA,27.731669,82.740108,,WI-FL,"NEENAH, WI to St Pete Beach, FL",Southeast West,East,Estes Express Lines,EXLA,LTL,Standard,3,1404,97275,121018,Booked,Regular,Request Routing,Pending,2025-07-03,15.03,15.03,15.03,0,1,15.03,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,6,22,2025-06-30 12:05:32.954
329987211850,329987211818,009L20080194,5010027499,5116168555,5010027499,009LSH14906613,,,,,,2025-06-30 11:59:40.000,2025-06-30 00:02:00.000,2025-06-30 23:58:00.000,2025-07-08 00:03:00.000,2025-07-08 23:59:00.000,2300000278,,,,FLASH FURNITURE,166 Etowah Industrial Ct,Canton,GA,30114-8016,USA,34.254763,84.536856,,0000045160,,,,El Bethel Terrace,"1099 Fillmore St, Ofc",San Francisco,CA,94115-8702,USA,37.786012,122.437386,,GA-CA,"Canton, GA to San Francisco, CA",West,West,Estes Express Lines,EXLA,LTL,Standard,5,2506,97275,121018,Booked,Regular,Request Routing,Pending,2025-07-08,84,84,84,0,1,84,0,1,,,,,,,,,,,,,,,,HD Supply Facilities Maintenance,HDFMidocLoaderId,,false,false,,,,,,,,,,2025,6,23,2025-06-30 12:05:32.954
